#Optimization obtained via Optimization of the purity of the resulting channel
#
#Identifier DeltaT PurityOpt PurityStand PurityBase MutInfOpt MutInfStand MutInfBase 
#
220 0.025354 0.999887 0.999999 0.960253 1.385687 1.386287 1.286344 

230 0.027826 0.999945 1.000000 0.980803 1.385978 1.386292 1.331649 

228 0.027826 0.999919 0.999997 0.976796 1.385843 1.386275 1.322380 

235 0.027826 0.999956 1.000000 0.975390 1.386036 1.386291 1.319265 

225 0.027826 0.999906 1.000000 0.971755 1.385779 1.386293 1.311077 

237 0.027826 0.999857 1.000000 0.976201 1.385538 1.386291 1.321024 

226 0.027826 0.999820 0.999999 0.967894 1.385366 1.386288 1.302739 

224 0.027826 0.999960 1.000000 0.960944 1.386058 1.386294 1.288519 

232 0.027826 0.999987 1.000000 0.988471 1.386211 1.386291 1.350635 

238 0.027826 0.999928 0.999999 0.962272 1.385890 1.386286 1.290958 

236 0.027826 0.999978 0.999995 0.986636 1.386159 1.386257 1.345926 

233 0.027826 0.999991 0.999999 0.994255 1.386235 1.386286 1.366563 

231 0.027826 0.999810 0.999999 0.970307 1.385318 1.386284 1.307665 

221 0.027826 0.999946 0.999998 0.962146 1.385983 1.386281 1.290897 

227 0.027826 0.999930 0.999997 0.943668 1.385898 1.386274 1.254618 

229 0.027826 0.999951 0.999999 0.967677 1.386008 1.386284 1.302415 

222 0.027826 0.999994 0.999999 0.984734 1.386251 1.386290 1.341190 

223 0.027826 0.999977 0.999999 0.982446 1.386151 1.386286 1.335595 

234 0.027826 0.999851 0.999999 0.967703 1.385510 1.386286 1.302040 

239 0.027826 0.999933 1.000000 0.980943 1.385917 1.386292 1.331940 

240 0.027826 0.999769 0.999998 0.962233 1.385133 1.386280 1.290536 

257 0.030539 0.999856 0.999999 0.969576 1.385537 1.386289 1.306428 

253 0.030539 0.999990 0.999999 0.991315 1.386226 1.386283 1.358234 

242 0.030539 0.999976 0.999999 0.980214 1.386148 1.386289 1.330323 

252 0.030539 0.999967 1.000000 0.982777 1.386093 1.386290 1.336388 

250 0.030539 0.999940 1.000000 0.975641 1.385950 1.386291 1.319716 

244 0.030539 0.999870 1.000000 0.952951 1.385603 1.386293 1.272642 

251 0.030539 0.999823 0.999998 0.965866 1.385381 1.386281 1.298083 

256 0.030539 0.999994 0.999992 0.983671 1.386251 1.386240 1.338567 

245 0.030539 0.999944 1.000000 0.965086 1.385974 1.386293 1.296774 

249 0.030539 0.999960 0.999998 0.961333 1.386060 1.386281 1.289269 

246 0.030539 0.999920 0.999999 0.961110 1.385847 1.386283 1.288575 

258 0.030539 0.999900 0.999998 0.954890 1.385748 1.386280 1.276158 

248 0.030539 0.999941 0.999996 0.968899 1.385958 1.386265 1.304947 

255 0.030539 0.999940 0.999999 0.966294 1.385950 1.386289 1.299566 

254 0.030539 0.999907 0.999999 0.955224 1.385785 1.386283 1.276079 

243 0.030539 0.999947 0.999998 0.976551 1.385989 1.386282 1.321823 

241 0.030539 0.999961 0.999998 0.951468 1.386063 1.386277 1.269634 

247 0.030539 0.999966 0.999996 0.935121 1.386090 1.386263 1.238813 

260 0.030539 0.999945 0.999997 0.957464 1.385978 1.386276 1.280850 

259 0.030539 0.999961 1.000000 0.976197 1.386064 1.386291 1.320963 

278 0.033516 0.999605 0.999997 0.931830 1.384412 1.386270 1.231398 

265 0.033516 0.999895 0.999999 0.964427 1.385723 1.386287 1.295580 

264 0.033516 0.999900 0.999986 0.943561 1.385749 1.386206 1.254610 

273 0.033516 0.999994 1.000000 0.985736 1.386254 1.386291 1.343668 

277 0.033516 0.999904 1.000000 0.960922 1.385771 1.386292 1.288232 

268 0.033516 0.999910 0.999996 0.950747 1.385799 1.386269 1.268195 

262 0.033516 0.999924 0.999999 0.973015 1.385871 1.386285 1.313904 

269 0.033516 0.999760 0.999999 0.947726 1.385092 1.386286 1.261945 

276 0.033516 0.999914 0.999997 0.962198 1.385820 1.386272 1.290855 

266 0.033516 0.999767 0.999998 0.952725 1.385123 1.386278 1.271469 

267 0.033516 0.999910 0.999993 0.945294 1.385799 1.386247 1.257984 

272 0.033516 0.999967 0.999997 0.975373 1.386096 1.386274 1.319172 

270 0.033516 0.999979 1.000000 0.963071 1.386162 1.386291 1.292306 

274 0.033516 0.999806 0.999998 0.935831 1.385301 1.386276 1.239913 

271 0.033516 0.999776 0.999995 0.961679 1.385165 1.386261 1.289450 

263 0.033516 0.999802 0.999999 0.953531 1.385284 1.386288 1.273161 

261 0.033516 0.999841 0.999996 0.945764 1.385462 1.386268 1.258708 

275 0.033516 0.999882 0.999999 0.958139 1.385658 1.386289 1.282821 

280 0.033516 0.999887 0.999999 0.943703 1.385686 1.386288 1.253591 

279 0.033516 0.999968 1.000000 0.964623 1.386101 1.386293 1.295894 

288 0.036784 0.999845 0.999990 0.958268 1.385482 1.386226 1.282930 

285 0.036784 0.999932 0.999999 0.984089 1.385908 1.386288 1.339489 

291 0.036784 0.999771 0.999996 0.942747 1.385141 1.386269 1.252017 

298 0.036784 0.999931 0.999995 0.945210 1.385904 1.386257 1.256515 

284 0.036784 0.999946 0.999982 0.980885 1.385982 1.386180 1.331853 

292 0.036784 0.999909 0.999998 0.969327 1.385795 1.386277 1.305987 

286 0.036784 0.999807 0.999996 0.951802 1.385306 1.386268 1.269793 

297 0.036784 0.999841 0.999998 0.974129 1.385462 1.386283 1.316274 

293 0.036784 0.999943 0.999996 0.983774 1.385967 1.386268 1.338823 

287 0.036784 0.999798 0.999990 0.946687 1.385262 1.386228 1.260519 

282 0.036784 0.999968 0.999999 0.986014 1.386101 1.386284 1.344371 

289 0.036784 0.999963 0.999996 0.981412 1.386072 1.386263 1.333049 

296 0.036784 0.999982 0.999983 0.955809 1.386179 1.386189 1.278209 

294 0.036784 0.999896 0.999999 0.909429 1.385729 1.386285 1.191807 

295 0.036784 0.999980 0.999999 0.962160 1.386169 1.386290 1.290989 

283 0.036784 0.999761 0.999996 0.959850 1.385094 1.386267 1.286222 

290 0.036784 0.999908 0.999999 0.976205 1.385790 1.386287 1.320999 

281 0.036784 0.999962 0.999991 0.963104 1.386067 1.386237 1.292947 

300 0.036784 0.999837 0.999994 0.952499 1.385445 1.386254 1.271314 

299 0.036784 0.999866 0.999999 0.967949 1.385583 1.386286 1.302846 

312 0.040370 0.999879 0.999996 0.972384 1.385647 1.386264 1.312589 

313 0.040370 0.999983 0.999996 0.982820 1.386184 1.386265 1.336503 

310 0.040370 0.999743 0.999999 0.955115 1.385012 1.386286 1.276367 

304 0.040370 0.999775 0.999983 0.918870 1.385154 1.386184 1.210588 

302 0.040370 0.999939 0.999997 0.962626 1.385945 1.386271 1.291886 

317 0.040370 0.999702 0.999999 0.943565 1.384832 1.386290 1.254213 

303 0.040370 0.999766 0.999997 0.941121 1.385116 1.386271 1.249701 

315 0.040370 0.999834 0.999999 0.942834 1.385433 1.386289 1.253371 

307 0.040370 0.999638 0.999998 0.895512 1.384552 1.386276 1.171526 

309 0.040370 0.999864 0.999994 0.927449 1.385575 1.386256 1.224368 

305 0.040370 0.999850 0.999999 0.951019 1.385505 1.386286 1.268884 

308 0.040370 0.999934 0.999994 0.930709 1.385921 1.386251 1.231380 

311 0.040370 0.999662 0.999996 0.921411 1.384659 1.386269 1.212202 

314 0.040370 0.999964 0.999995 0.925113 1.386077 1.386257 1.220873 

318 0.040370 0.999649 0.999999 0.897786 1.384600 1.386283 1.170883 

316 0.040370 0.999808 0.999985 0.940831 1.385312 1.386201 1.249382 

306 0.040370 0.999839 0.999999 0.924229 1.385456 1.386290 1.218802 

301 0.040370 0.999973 0.999987 0.921801 1.386128 1.386212 1.215892 

320 0.040370 0.999620 0.999993 0.903643 1.384477 1.386248 1.180474 

319 0.040370 0.999735 0.999999 0.942944 1.384977 1.386285 1.252857 

335 0.044306 0.999835 0.999997 0.921308 1.385437 1.386273 1.215005 

324 0.044306 0.999948 0.999988 0.913890 1.385992 1.386216 1.202311 

328 0.044306 0.999790 0.999977 0.918017 1.385227 1.386152 1.208264 

326 0.044306 0.999713 0.999990 0.914375 1.384880 1.386231 1.201446 

332 0.044306 0.999878 0.999998 0.950399 1.385642 1.386283 1.267538 

331 0.044306 0.999560 0.999990 0.940055 1.384221 1.386225 1.246877 

333 0.044306 0.999906 0.999996 0.973971 1.385778 1.386265 1.316086 

329 0.044306 0.999945 0.999994 0.926706 1.385976 1.386252 1.224291 

321 0.044306 0.999601 0.999992 0.902659 1.384392 1.386243 1.182949 

